number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_data_per_groups,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9131233404866694,2024-04-07 00:17:40.744612,2024-04-07 00:26:07.547774,0 days 00:08:26.803162,0.8,0.008,100,18,74,821,0.00433733734739567,0.30244555342360274,1.0,COMPLETE
1,0.9091223220456117,2024-04-07 00:17:40.745630,2024-04-07 00:20:43.943693,0 days 00:03:03.198063,0.7,0.017,100,194,15,944,0.005440852123948926,0.5386411752905953,0.5,COMPLETE
2,0.9131233404866694,2024-04-07 00:17:40.758280,2024-04-07 00:22:59.751733,0 days 00:05:18.993453,0.7,0.008,100,31,83,106,0.26789504194705194,0.6057158420903198,0.4,COMPLETE
3,0.9106499836321973,2024-04-07 00:17:40.768316,2024-04-07 00:20:11.044900,0 days 00:02:30.276584,0.5,0.008,100,74,2,906,9.987068351588292,0.001489163535505631,0.7,COMPLETE
4,0.9113228821881934,2024-04-07 00:17:40.778487,2024-04-07 00:20:19.318383,0 days 00:02:38.539896,0.3,0.006,20,185,10,50,0.02317677756715558,0.004261925268152868,0.4,COMPLETE
5,0.9105590513949005,2024-04-07 00:20:11.102488,2024-04-07 00:22:30.223471,0 days 00:02:19.120983,0.9,0.02,10,87,52,666,3.3101887012791904,0.032577597074541984,0.8,COMPLETE
6,0.9099043392863637,2024-04-07 00:20:19.358269,2024-04-07 00:22:29.235534,0 days 00:02:09.877265,0.6,0.01,10,140,93,743,3.43693635813803,0.012360648445666153,0.7,COMPLETE
7,0.9112865092932746,2024-04-07 00:20:43.975355,2024-04-07 00:22:57.436451,0 days 00:02:13.461096,0.6,0.014,20,155,64,801,0.7612445738657719,0.01955979935826837,0.8,COMPLETE
8,0.9093223729676646,2024-04-07 00:22:29.258125,2024-04-07 00:25:56.378284,0 days 00:03:27.120159,0.8,0.02,100,190,96,993,0.03092661572225644,3.024348649978048,0.6,COMPLETE
9,0.911722984032299,2024-04-07 00:22:30.249072,2024-04-07 00:27:24.745753,0 days 00:04:54.496681,0.6,0.006,100,101,60,985,0.05707072089795612,0.08923165091273808,1.0,COMPLETE
