number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_data_per_groups,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.14161117712497556,2024-04-05 23:22:03.517879,2024-04-05 23:22:06.278233,0 days 00:00:02.760354,0.6,0.02,10,50,40,165,0.8282675113834026,9.076079949805647,0.6,COMPLETE
1,0.19374363900436983,2024-04-05 23:22:06.284065,2024-04-05 23:22:08.075675,0 days 00:00:01.791610,0.5,0.02,10,283,86,670,0.001287269935279756,0.010327584261007,0.5,COMPLETE
2,0.16512546269435496,2024-04-05 23:22:08.081127,2024-04-05 23:22:10.322889,0 days 00:00:02.241762,0.5,0.014,100,145,46,472,0.0057936925480637025,0.2653991141315708,1.0,COMPLETE
3,0.1605122718158072,2024-04-05 23:22:10.330082,2024-04-05 23:22:13.826357,0 days 00:00:03.496275,0.4,0.014,100,99,25,488,8.509527151899524,0.7845664454897306,0.6,COMPLETE
4,0.1587200550039846,2024-04-05 23:22:13.832638,2024-04-05 23:22:16.148336,0 days 00:00:02.315698,0.8,0.014,100,148,24,552,0.27477532203514315,0.010022866754786232,0.7,COMPLETE
5,0.1721389947294924,2024-04-05 23:22:16.154679,2024-04-05 23:22:17.857766,0 days 00:00:01.703087,1.0,0.02,10,182,53,15,0.08963588882994537,0.015548167759898503,0.5,COMPLETE
6,0.16273827109220423,2024-04-05 23:22:17.864300,2024-04-05 23:22:21.808302,0 days 00:00:03.944002,0.6,0.008,10,146,79,667,1.2357947512475527,0.002460443893503412,0.6,COMPLETE
7,0.1618026200570477,2024-04-05 23:22:21.815239,2024-04-05 23:22:25.223770,0 days 00:00:03.408531,0.9,0.006,20,143,48,569,0.016806042239361572,0.12052624098385396,0.8,COMPLETE
8,0.181013711036936,2024-04-05 23:22:25.231047,2024-04-05 23:22:29.054720,0 days 00:00:03.823673,0.3,0.01,10,205,67,532,0.248666376774939,0.2836962094221809,0.4,COMPLETE
9,0.14844240675722764,2024-04-05 23:22:29.062587,2024-04-05 23:22:32.579558,0 days 00:00:03.516971,0.8,0.008,20,93,63,832,0.19291769824343466,0.02023829225893961,0.6,COMPLETE
10,0.141031349000805,2024-04-05 23:22:32.587397,2024-04-05 23:22:36.165517,0 days 00:00:03.578120,0.7,0.017,10,3,13,130,5.307707244389143,4.684693686209784,0.7,COMPLETE
11,0.1450644076444027,2024-04-05 23:22:36.173847,2024-04-05 23:22:38.596412,0 days 00:00:02.422565,0.7,0.017,10,8,3,119,6.6788317226835385,9.840781626227782,0.7,COMPLETE
12,0.13586241201548216,2024-04-05 23:22:38.604859,2024-04-05 23:22:44.347111,0 days 00:00:05.742252,0.6,0.017,10,15,21,215,1.4465307607728664,8.91098363544503,0.7,COMPLETE
13,0.1435449322881603,2024-04-05 23:22:44.358204,2024-04-05 23:22:47.594635,0 days 00:00:03.236431,0.7,0.017,10,5,1,259,2.1491713824282908,1.9078472415972023,0.7,COMPLETE
14,0.14000764293313553,2024-04-05 23:22:47.603599,2024-04-05 23:22:50.203781,0 days 00:00:02.600182,0.7,0.017,10,61,19,327,2.761220527967582,2.6402681972341626,0.7,COMPLETE
15,0.14241328872206266,2024-04-05 23:22:50.213065,2024-04-05 23:22:53.095523,0 days 00:00:02.882458,0.6,0.017,20,64,30,287,0.039978770337571586,2.083951718456933,0.7,COMPLETE
16,0.1462651320535376,2024-04-05 23:22:53.105073,2024-04-05 23:22:56.409329,0 days 00:00:03.304256,0.4,0.017,10,47,15,372,0.6772404702814814,1.0218770555483814,0.4,COMPLETE
17,0.1477459034419565,2024-04-05 23:22:56.419265,2024-04-05 23:22:59.212120,0 days 00:00:02.792855,0.9,0.01,10,95,99,342,2.650971974217898,3.537247120151721,0.8,COMPLETE
18,0.15549387577990542,2024-04-05 23:22:59.222331,2024-04-05 23:23:11.542367,0 days 00:00:12.320036,0.3,0.006,100,41,34,996,0.6411656299365167,0.629418862637721,1.0,COMPLETE
19,0.19003747206341354,2024-04-05 23:23:11.556061,2024-04-05 23:23:12.913196,0 days 00:00:01.357135,1.0,0.017,20,245,16,5,1.8826282159844403,0.06476896611469529,0.7,COMPLETE
20,0.146706563337952,2024-04-05 23:23:12.924385,2024-04-05 23:23:14.877014,0 days 00:00:01.952629,0.7,0.017,10,78,11,210,3.58423519145665,3.6369574672688123,0.7,COMPLETE
21,0.14195373117649443,2024-04-05 23:23:14.888101,2024-04-05 23:23:16.993237,0 days 00:00:02.105136,0.7,0.017,10,26,19,105,8.596780845478193,6.463514845319481,0.7,COMPLETE
22,0.14049292703634925,2024-04-05 23:23:17.010906,2024-04-05 23:23:20.702237,0 days 00:00:03.691331,0.7,0.017,10,2,8,388,4.5974239611811045,3.4694023154145746,0.7,COMPLETE
23,0.14238975403262327,2024-04-05 23:23:20.717224,2024-04-05 23:23:23.360256,0 days 00:00:02.643032,0.6,0.017,10,34,7,400,0.45985613330432945,1.9852397754943447,0.7,COMPLETE
24,0.15297455315576197,2024-04-05 23:23:23.372226,2024-04-05 23:23:25.283114,0 days 00:00:01.910888,0.7,0.017,10,112,33,294,1.707816413834537,0.3885504649012684,0.7,COMPLETE
25,0.13466906300271314,2024-04-05 23:23:25.295462,2024-04-05 23:23:28.239379,0 days 00:00:02.943917,0.7,0.017,10,22,24,421,3.776642348169492,1.3567988938714284,0.7,COMPLETE
26,0.14633869103095468,2024-04-05 23:23:28.252265,2024-04-05 23:23:31.793429,0 days 00:00:03.541164,0.6,0.01,10,72,39,222,0.0982138848467821,1.6134527499623381,1.0,COMPLETE
27,0.13651930508146543,2024-04-05 23:23:31.806309,2024-04-05 23:23:38.780442,0 days 00:00:06.974133,0.7,0.006,10,26,24,447,1.3982155419579803,0.10287481945287115,0.8,COMPLETE
28,0.1398583547023039,2024-04-05 23:23:38.793866,2024-04-05 23:23:44.666173,0 days 00:00:05.872307,1.0,0.006,20,27,27,445,1.1231838714807527,0.12378205841175048,0.8,COMPLETE
29,0.15699868798676456,2024-04-05 23:23:44.679666,2024-04-05 23:23:49.662161,0 days 00:00:04.982495,0.6,0.006,100,120,40,711,0.3454683559308054,0.040225956734030205,0.8,COMPLETE
30,0.13422913027959232,2024-04-05 23:23:49.676045,2024-04-05 23:23:56.720869,0 days 00:00:07.044824,0.8,0.006,10,24,57,211,0.925738976742989,0.0012281968982498202,0.8,COMPLETE
31,0.13588507538198252,2024-04-05 23:23:56.735220,2024-04-05 23:24:02.741364,0 days 00:00:06.006144,0.8,0.006,10,26,58,176,0.957662830458064,0.0017332758576836125,0.8,COMPLETE
32,0.1393105912543327,2024-04-05 23:24:02.755965,2024-04-05 23:24:08.147041,0 days 00:00:05.391076,0.8,0.006,10,49,65,163,0.8997618221394235,0.001084373287224503,0.8,COMPLETE
33,0.13722304168531405,2024-04-05 23:24:08.161893,2024-04-05 23:24:10.453107,0 days 00:00:02.291214,0.8,0.02,10,22,55,211,0.0011899389941741668,0.003577831174676127,0.5,COMPLETE
34,0.1416729152870841,2024-04-05 23:24:10.467850,2024-04-05 23:24:15.444552,0 days 00:00:04.976702,0.8,0.006,10,55,58,85,0.00411548045736684,0.001136327268318225,0.8,COMPLETE
35,0.1509298379917403,2024-04-05 23:24:15.459995,2024-04-05 23:24:18.214078,0 days 00:00:02.754083,0.5,0.014,100,82,74,59,0.15217426631475522,0.0037575361993302287,0.8,COMPLETE
36,0.17468939744782172,2024-04-05 23:24:18.234268,2024-04-05 23:24:21.979413,0 days 00:00:03.745145,0.8,0.006,10,187,47,225,0.5628829987706359,0.0019893036333986655,0.4,COMPLETE
37,0.13317285603905896,2024-04-05 23:24:21.995265,2024-04-05 23:24:27.306249,0 days 00:00:05.310984,0.8,0.008,10,17,71,163,3.6039973145174753,0.006870915974030304,0.5,COMPLETE
38,0.19710887602045832,2024-04-05 23:24:27.328896,2024-04-05 23:24:31.481821,0 days 00:00:04.152925,0.4,0.008,100,287,74,275,3.730821376593999,0.007341139609932263,0.5,COMPLETE
39,0.16041305775249085,2024-04-05 23:24:31.498465,2024-04-05 23:24:34.161439,0 days 00:00:02.662974,0.8,0.008,10,124,86,170,9.484522798664187,0.0069922830680829,0.5,COMPLETE
